channel,prn,first_raw_interval_start_sample,carrier_doppler_hz,source_first_absolute_raw_sample,code_epoch_residue_samples,code_phase_convention,carrier_phase_convention,acquisition_sample_stamp,acquisition_metric
0,19,750003043,2500.0,2252028043,3043,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
1,30,750010531,-3400.0,2303185531,10531,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
2,3,750005111,800.0,2251005111,5111,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
3,8,750021134,2200.0,2280671134,21134,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
4,16,750001169,-2000.0,2252026169,1169,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
5,6,750008806,-500.0,2251008806,8806,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
6,7,750020709,1800.0,2250995709,20709,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
7,13,750007647,1800.0,2252032647,7647,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
8,23,750007670,-500.0,2253082670,7670,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
9,17,750014103,5700.0,2258339103,14103,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
10,10,750000933,800.0,2333125933,933,residual_code_phase_chips_and_samples_zero_at_first_interval,residual_carrier_phase_zero_and_accumulator_minus_doppler_step_times_first_sample,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA,UNAVAILABLE_IN_PRESERVED_R2_RELEASE_SCHEMA
