regime,target_domain,feature_group,unit,synthetic_rows,real_rows,agc,agc_na_reason,old_comparator,smd_mean,standardized_wasserstein_mean,wasserstein_mean,mmd2_unbiased_exploratory,mmd_rbf,rmse_ratio,rmse_ratio_5p5x,uncertainty,uncertainty_na_reason,mmd_label
S0,SYN-OAK,B0_residual_9D,PRN residual row,1200,1200,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,1.0582186228343444,1.1254254879346903,1.1254254879346903,0.6281141651899683,0.7925365387097104,0.5464842956698034,0.5464842956698034,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S0,SYN-OAK,M1_innovation,"unique_(run_id,t)",680,280,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,3.25406406794664,3.254130130004795,3.254130130004795,1.1020461429464177,1.049783855346622,3.971132025187072,3.971132025187072,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S1,SYN-OAK,B0_residual_9D,PRN residual row,1200,1200,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,1.0687922339250222,1.1316671042942574,1.1316671042942574,0.6277256206181908,0.7922913735603783,0.5356937346409737,0.5356937346409737,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S1,SYN-OAK,M1_innovation,"unique_(run_id,t)",680,280,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,2.925381564776578,2.9254566389027965,2.9254566389027965,1.0840729058025091,1.0411882182403474,0.1943753210189701,0.1943753210189701,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S0,SYN-TEX,B0_residual_9D,PRN residual row,1200,1200,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,0.6467220465040847,0.6473999486280019,0.6473999486280019,0.1563885613657946,0.3954599364863583,0.6182415720165121,0.6182415720165121,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S0,SYN-TEX,M1_innovation,"unique_(run_id,t)",679,281,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,7.146171871346288,7.207987239339038,7.207987239339038,0.8943987598491496,0.945726577742822,14.935198671733104,14.935198671733104,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S1,SYN-TEX,B0_residual_9D,PRN residual row,1200,1200,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,0.6457969237509131,0.6465437606183744,0.6465437606183744,0.1537553982315154,0.3921165620469446,0.6136967913009603,0.6136967913009603,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
S1,SYN-TEX,M1_innovation,"unique_(run_id,t)",679,281,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,0.8963276163016554,1.0683751883573809,1.0683751883573809,0.3293933239707441,0.5739279780344778,1.1119278008587763,1.1119278008587763,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
R0,SYN-TEX,B0_residual_9D,PRN residual row,1200,1200,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,0.5750899075772185,0.5897094026086188,0.5897094026086188,0.1287849605951448,0.3588662154552095,0.3134690502120761,0.3134690502120761,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
R0,SYN-TEX,M1_innovation,"unique_(run_id,t)",679,281,,no receiver-independent AGC telemetry in Method-A/M1 exports,5.5,5.70914618821965,5.709146188219651,5.709146188219651,1.3952613650677124,1.18121182057568,0.0234310075107632,0.0234310075107632,NA,only one real cleanStatic recording; block summaries retained but recording-level CI not estimable,exploratory unbiased U-statistic; negative values permitted
